#Best run for each simulation of the study Legrain et al., (2023): A gradual change is more likely to have caused the Mid-Pleistocene Transition than an abrupt event;;;;;;;;
;;;;;;;;
Age (ka);ORB simulation Ice volume (m sl);ABR simulation Ice volume (m sl);GRAD simulation Ice volume (m sl);ABRkO simulation Ice volume (m sl);GRADkO simulation Ice volume (m sl);ABRag Ice volume (m sl);GRADag Ice volume (m sl);SYN simulation Ice volume (m sl)
1870;32.0754436;38.37167712;29.71031513;34.43037454;33.14390827;51.19626456;21.83661041;26.44162922
1869;33.53759055;40.30363043;31.43109438;35.1487259;33.74067671;52.88236734;22.57390924;28.21341872
1868;35.42126931;42.23070565;33.39630037;35.85659714;34.39588867;54.59928414;23.46128356;29.85248806
1867;37.56470251;44.06211902;35.47568991;36.55184017;35.0868223;56.24826892;24.39596889;31.29206868
1866;39.81755805;45.70219908;37.53922537;37.23557419;35.80489791;57.7205757;25.28091474;32.46235072
1865;42.05226386;47.0422732;39.4585308;37.91304001;36.56263898;58.88804949;26.0265987;33.29528696
1864;44.16004144;47.96030429;41.10540269;38.59284735;37.39044323;59.60381067;26.54857018;33.73078269
1863;46.05503615;48.37985142;42.38878654;39.28115209;38.30598587;59.7738161;26.78789953;33.73110896
1862;47.66775363;48.29873848;43.26864957;39.97826577;39.29566549;59.39219687;26.71724536;33.29629729
1861;48.92096586;47.75499773;43.72420018;40.68062171;40.32302696;58.50126593;26.31924687;32.45786528
1860;49.69951297;46.80907878;43.72867524;41.38079997;41.32608445;57.17149827;25.56742445;31.2609653
1859;49.83127149;45.53326884;43.23393745;42.06738317;42.21497956;55.48984042;24.41424446;29.75550349
1858;49.17272126;43.00733968;37.1927358;42.72844108;42.89958372;53.56898487;22.83216517;27.99453928
1857;46.67277001;35.87537246;30.54512535;42.28869331;43.32537705;50.05726445;20.87393286;26.03426067
1856;38.82343723;29.62780028;24.45329703;36.9709525;38.92885752;40.20420252;18.65791823;23.93438575
1855;31.41552735;24.31971112;19.02605671;32.27148025;33.89770232;32.14395053;16.33065713;21.75848095
